trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
138.T6.11-MRe-2-y08-1.79.H,5:04:01,5:04:01,12902,2,,0,0,2913.298517
138.T6.11-MRe-1-y08-1.38.H,5:06:31,5:06:31,12902,2,,0,0,2913.298517
139.T6.11-MRe-2-y08-1.79.H,5:10:31,5:10:31,12902,2,,0,0,2913.298517
139.T6.11-MRe-1-y08-1.38.H,5:14:31,5:14:31,12902,2,,0,0,2913.298517
140.T6.11-MRe-2-y08-1.79.H,5:18:31,5:18:31,12902,2,,0,0,2913.298517
140.T6.11-MRe-1-y08-1.38.H,5:22:31,5:22:31,12902,2,,0,0,2913.298517
141.T6.11-MRe-2-y08-1.79.H,5:26:31,5:26:31,12902,2,,0,0,2913.298517
141.T6.11-MRe-1-y08-1.38.H,5:30:31,5:30:31,12902,2,,0,0,2913.298517
142.T6.11-MRe-2-y08-1.79.H,5:34:31,5:34:31,12902,2,,0,0,2913.298517
142.T6.11-MRe-1-y08-1.38.H,5:38:31,5:38:31,12902,2,,0,0,2913.298517
143.T6.11-MRe-2-y08-1.79.H,5:42:31,5:42:31,12902,2,,0,0,2913.298517
143.T6.11-MRe-1-y08-1.38.H,5:46:31,5:46:31,12902,2,,0,0,2913.298517
144.T6.11-MRe-2-y08-1.79.H,5:50:31,5:50:31,12902,2,,0,0,2913.298517
144.T6.11-MRe-1-y08-1.38.H,5:54:31,5:54:31,12902,2,,0,0,2913.298517
145.T6.11-MRe-2-y08-1.79.H,5:58:31,5:58:31,12902,2,,0,0,2913.298517
145.T6.11-MRe-1-y08-1.38.H,6:02:31,6:02:31,12902,2,,0,0,2913.298517
146.T6.11-MRe-2-y08-1.79.H,6:06:31,6:06:31,12902,2,,0,0,2913.298517
146.T6.11-MRe-1-y08-1.38.H,6:10:31,6:10:31,12902,2,,0,0,2913.298517
147.T6.11-MRe-2-y08-1.79.H,6:14:31,6:14:31,12902,2,,0,0,2913.298517
147.T6.11-MRe-1-y08-1.38.H,6:18:31,6:18:31,12902,2,,0,0,2913.298517
148.T6.11-MRe-2-y08-1.79.H,6:22:31,6:22:31,12902,2,,0,0,2913.298517
148.T6.11-MRe-1-y08-1.38.H,6:26:31,6:26:31,12902,2,,0,0,2913.298517
149.T6.11-MRe-2-y08-1.79.H,6:30:31,6:30:31,12902,2,,0,0,2913.298517
149.T6.11-MRe-1-y08-1.38.H,6:34:31,6:34:31,12902,2,,0,0,2913.298517
150.T6.11-MRe-2-y08-1.79.H,6:38:31,6:38:31,12902,2,,0,0,2913.298517
150.T6.11-MRe-1-y08-1.38.H,6:42:31,6:42:31,12902,2,,0,0,2913.298517
151.T6.11-MRe-2-y08-1.79.H,6:46:31,6:46:31,12902,2,,0,0,2913.298517
151.T6.11-MRe-1-y08-1.38.H,6:50:31,6:50:31,12902,2,,0,0,2913.298517
152.T6.11-MRe-2-y08-1.79.H,6:54:31,6:54:31,12902,2,,0,0,2913.298517
152.T6.11-MRe-1-y08-1.38.H,6:58:31,6:58:31,12902,2,,0,0,2913.298517
153.T6.11-MRe-2-y08-1.79.H,7:01:31,7:01:31,12902,2,,0,0,2913.298517
153.T6.11-MRe-1-y08-1.73.H,7:03:31,7:03:31,12902,2,,0,0,2913.298517
154.T6.11-MRe-1-y08-1.38.H,7:05:31,7:05:31,12902,2,,0,0,2913.298517
154.T6.11-MRe-2-y08-1.79.H,7:10:31,7:10:31,12902,2,,0,0,2913.298517
155.T6.11-MRe-1-y08-1.73.H,7:11:31,7:11:31,12902,2,,0,0,2913.298517
156.T6.11-MRe-1-y08-1.38.H,7:13:31,7:13:31,12902,2,,0,0,2913.298517
157.T6.11-MRe-1-y08-1.73.H,7:15:31,7:15:31,12902,2,,0,0,2913.298517
155.T6.11-MRe-2-y08-1.79.H,7:18:31,7:18:31,12902,2,,0,0,2913.298517
157.T6.11-MRe-1-y08-1.73.H,7:17:31,7:17:31,12902,2,,0,0,2913.298517
158.T6.11-MRe-1-y08-1.73.H,7:23:31,7:23:31,12902,2,,0,0,2913.298517
159.T6.11-MRe-1-y08-1.38.H,7:25:31,7:25:31,12902,2,,0,0,2913.298517
156.T6.11-MRe-2-y08-1.79.H,7:26:31,7:26:31,12902,2,,0,0,2913.298517
160.T6.11-MRe-1-y08-1.73.H,7:27:31,7:27:31,12902,2,,0,0,2913.298517
161.T6.11-MRe-1-y08-1.38.H,7:31:31,7:31:31,12902,2,,0,0,2913.298517
157.T6.11-MRe-2-y08-1.79.H,7:34:31,7:34:31,12902,2,,0,0,2913.298517
163.T6.11-MRe-1-y08-1.38.H,7:39:31,7:39:31,12902,2,,0,0,2913.298517
164.T6.11-MRe-1-y08-1.73.H,7:41:31,7:41:31,12902,2,,0,0,2913.298517
158.T6.11-MRe-2-y08-1.79.H,7:42:31,7:42:31,12902,2,,0,0,2913.298517
165.T6.11-MRe-1-y08-1.73.H,7:43:31,7:43:31,12902,2,,0,0,2913.298517
166.T6.11-MRe-1-y08-1.38.H,7:45:31,7:45:31,12902,2,,0,0,2913.298517
159.T6.11-MRe-2-y08-1.79.H,7:50:31,7:50:31,12902,2,,0,0,2913.298517
167.T6.11-MRe-1-y08-1.73.H,7:51:31,7:51:31,12902,2,,0,0,2913.298517
168.T6.11-MRe-1-y08-1.38.H,7:55:31,7:55:31,12902,2,,0,0,2913.298517
169.T6.11-MRe-1-y08-1.73.H,7:57:31,7:57:31,12902,2,,0,0,2913.298517
160.T6.11-MRe-2-y08-1.79.H,7:58:31,7:58:31,12902,2,,0,0,2913.298517
170.T6.11-MRe-1-y08-1.73.H,8:00:31,8:00:31,12902,2,,0,0,2913.298517
171.T6.11-MRe-1-y08-1.38.H,8:02:31,8:02:31,12902,2,,0,0,2913.298517
161.T6.11-MRe-2-y08-1.79.H,8:06:31,8:06:31,12902,2,,0,0,2913.298517
172.T6.11-MRe-1-y08-1.73.H,8:08:31,8:08:31,12902,2,,0,0,2913.298517
173.T6.11-MRe-1-y08-1.38.H,8:10:31,8:10:31,12902,2,,0,0,2913.298517
162.T6.11-MRe-2-y08-1.79.H,8:14:31,8:14:31,12902,2,,0,0,2913.298517
174.T6.11-MRe-1-y08-1.73.H,8:16:31,8:16:31,12902,2,,0,0,2913.298517
175.T6.11-MRe-1-y08-1.38.H,8:18:31,8:18:31,12902,2,,0,0,2913.298517
